
2025-07-21 19:56:00,171 - ERROR - Podcast: Error procesando episodio #342: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:56:00,298 - ERROR - Podcast: Error procesando episodio #341: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:56:00,444 - ERROR - Podcast: Error procesando episodio #340: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:56:00,557 - ERROR - Podcast: Error procesando episodio #339: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:56:00,675 - ERROR - Podcast: Error procesando episodio #338: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:56:00,792 - ERROR - Podcast: Error procesando episodio #337: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:56:00,909 - ERROR - Podcast: Error procesando episodio #336: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:56:01,032 - ERROR - Podcast: Error procesando episodio #335: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:56:01,150 - ERROR - Podcast: Error procesando episodio #334: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:56:01,270 - ERROR - Podcast: Error procesando episodio #333: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:56:01,384 - ERROR - Podcast: Error procesando episodio #332: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:56:01,498 - ERROR - Podcast: Error procesando episodio #331: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:56:01,620 - ERROR - Podcast: Error procesando episodio #330: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:56:01,740 - ERROR - Podcast: Error procesando episodio #329: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:56:01,864 - ERROR - Podcast: Error procesando episodio #328: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:56:01,982 - ERROR - Podcast: Error procesando episodio #327: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:56:02,099 - ERROR - Podcast: Error procesando episodio #326: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
